,county_state,UV
242,Huerfano_CO,5066
243,Jackson_CO,4451
244,Jefferson_CO,4585
245,Kiowa_CO,4873
246,Kit Carson_CO,4724
247,Lake_CO,4625
248,La Plata_CO,5200
249,Larimer_CO,4439
250,Las Animas_CO,5084
251,Lincoln_CO,4755
252,Logan_CO,4524
253,Mesa_CO,4911
254,Mineral_CO,5085
255,Moffat_CO,4659
256,Montezuma_CO,5178
257,Montrose_CO,5016
258,Morgan_CO,4563
259,Otero_CO,5003
260,Ouray_CO,5010
261,Park_CO,4641
262,Phillips_CO,4547
263,Pitkin_CO,4688
264,Prowers_CO,4934
265,Pueblo_CO,4966
266,Rio Blanco_CO,4724
267,Rio Grande_CO,5156
268,Routt_CO,4540
269,Saguache_CO,5004
270,San Juan_CO,5021
271,San Miguel_CO,5055
272,Sedgwick_CO,4511
273,Summit_CO,4527
274,Teller_CO,4669
275,Washington_CO,4609
276,Weld_CO,4514
277,Yuma_CO,4630
278,Fairfield_CT,3849
279,Hartford_CT,3819
280,Litchfield_CT,3797
281,Middlesex_CT,3835
282,New Haven_CT,3831
283,New London_CT,3853
284,Tolland_CT,3827
285,Windham_CT,3849
286,Kent_DE,4081
287,New Castle_DE,4038
288,Sussex_DE,4103
289,District of Columbia_DC,4100
290,Alachua_FL,4709
291,Baker_FL,4639
292,Bay_FL,4660
293,Bradford_FL,4675
294,Brevard_FL,4807
295,Broward_FL,4820
296,Calhoun_FL,4675
297,Charlotte_FL,4859
298,Citrus_FL,4793
299,Clay_FL,4672
300,Collier_FL,4858
301,Columbia_FL,4659
302,DeSoto_FL,4852
303,Dixie_FL,4723
304,Duval_FL,4635
305,Escambia_FL,4518
306,Flagler_FL,4757
307,Franklin_FL,4701
308,Gadsden_FL,4679
309,Gilchrist_FL,4709
310,Glades_FL,4828
311,Gulf_FL,4686
312,Hamilton_FL,4650
313,Hardee_FL,4848
314,Hendry_FL,4836
315,Hernando_FL,4815
316,Highlands_FL,4831
317,Hillsborough_FL,4847
318,Holmes_FL,4642
319,Indian River_FL,4797
320,Jackson_FL,4667
321,Jefferson_FL,4683
322,Lafayette_FL,4694
323,Lake_FL,4808
324,Lee_FL,4862
325,Leon_FL,4686
326,Levy_FL,4747
327,Liberty_FL,4688
328,Madison_FL,4672
329,Manatee_FL,4858
330,Marion_FL,4765
331,Martin_FL,4782
332,Miami-Dade_FL,4855
333,Monroe_FL,4874
334,Nassau_FL,4611
335,Okaloosa_FL,4587
336,Okeechobee_FL,4809
337,Orange_FL,4819
338,Osceola_FL,4822
339,Palm Beach_FL,4793
340,Pasco_FL,4830
341,Pinellas_FL,4846
342,Polk_FL,4836
343,Putnam_FL,4725
344,St. Johns_FL,4697
345,St. Lucie_FL,4785
346,Santa Rosa_FL,4551
347,Sarasota_FL,4865
348,Seminole_FL,4815
349,Sumter_FL,4808
350,Suwannee_FL,4673
351,Taylor_FL,4699
352,Union_FL,4668
353,Volusia_FL,4795
354,Wakulla_FL,4698
355,Walton_FL,4621
356,Washington_FL,4652
357,Appling_GA,4595
358,Atkinson_GA,4614
359,Bacon_GA,4598
360,Baker_GA,4662
361,Baldwin_GA,4590
362,Banks_GA,4478
363,Barrow_GA,4524
364,Bartow_GA,4444
365,Ben Hill_GA,4615
366,Berrien_GA,4627
367,Bibb_GA,4606
368,Bleckley_GA,4604
369,Brantley_GA,4595
370,Brooks_GA,4655
371,Bryan_GA,4601
372,Bulloch_GA,4591
373,Burke_GA,4574
374,Butts_GA,4592
375,Calhoun_GA,4657
376,Camden_GA,4600
377,Candler_GA,4589
378,Carroll_GA,4525
379,Catoosa_GA,4311
380,Charlton_GA,4607
381,Chatham_GA,4607
382,Chattahoochee_GA,4635
383,Chattooga_GA,4376
384,Cherokee_GA,4457
385,Clarke_GA,4534
386,Clay_GA,4655
387,Clayton_GA,4570
388,Clinch_GA,4620
389,Cobb_GA,4507
390,Coffee_GA,4608
391,Colquitt_GA,4647
392,Columbia_GA,4557
393,Cook_GA,4638
394,Coweta_GA,4573
395,Crawford_GA,4613
396,Crisp_GA,4628
397,Dade_GA,4303
398,Dawson_GA,4426
399,Decatur_GA,4673
400,DeKalb_GA,4546
401,Dodge_GA,4606
402,Dooly_GA,4623
403,Dougherty_GA,4652
404,Douglas_GA,4531
405,Early_GA,4662
406,Echols_GA,4636
407,Effingham_GA,4598
408,Elbert_GA,4522
409,Emanuel_GA,4587
410,Evans_GA,4592
411,Fannin_GA,4324
412,Fayette_GA,4578
413,Floyd_GA,4422
414,Forsyth_GA,4474
415,Franklin_GA,4484
416,Fulton_GA,4534
417,Gilmer_GA,4356
418,Glascock_GA,4572
419,Glynn_GA,4599
420,Gordon_GA,4397
421,Grady_GA,4669
422,Greene_GA,4564
423,Gwinnett_GA,4521
424,Habersham_GA,4417
425,Hall_GA,4469
426,Hancock_GA,4577
427,Haralson_GA,4485
428,Harris_GA,4610
429,Hart_GA,4491
430,Heard_GA,4560
431,Henry_GA,4580
432,Houston_GA,4612
433,Irwin_GA,4619
434,Jackson_GA,4509
435,Jasper_GA,4587
436,Jeff Davis_GA,4599
437,Jefferson_GA,4577
438,Jenkins_GA,4582
439,Johnson_GA,4588
440,Jones_GA,4595
441,Lamar_GA,4600
442,Lanier_GA,4628
443,Laurens_GA,4597
444,Lee_GA,4643
445,Liberty_GA,4600
446,Lincoln_GA,4547
447,Long_GA,4595
448,Lowndes_GA,4644
449,Lumpkin_GA,4405
450,McDuffie_GA,4561
451,McIntosh_GA,4601
452,Macon_GA,4624
453,Madison_GA,4516
454,Marion_GA,4628
455,Meriwether_GA,4596
456,Miller_GA,4667
457,Mitchell_GA,4659
458,Monroe_GA,4603
459,Montgomery_GA,4595
460,Morgan_GA,4568
461,Murray_GA,4344
462,Muscogee_GA,4629
463,Newton_GA,4572
464,Oconee_GA,4546
465,Oglethorpe_GA,4542
466,Paulding_GA,4492
467,Peach_GA,4612
468,Pickens_GA,4409
469,Pierce_GA,4596
470,Pike_GA,4599
471,Polk_GA,4462
472,Pulaski_GA,4614
473,Putnam_GA,4583
474,Quitman_GA,4649
475,Rabun_GA,4357
476,Randolph_GA,4649
477,Richmond_GA,4563
478,Rockdale_GA,4563
479,Schley_GA,4630
480,Screven_GA,4585
481,Seminole_GA,4672
482,Spalding_GA,4591
483,Stephens_GA,4453
484,Stewart_GA,4641
485,Sumter_GA,4635
486,Talbot_GA,4617
487,Taliaferro_GA,4561
488,Tattnall_GA,4592
489,Taylor_GA,4621
490,Telfair_GA,4606
491,Terrell_GA,4647
492,Thomas_GA,4663
493,Tift_GA,4631
494,Toombs_GA,4593
495,Towns_GA,4331
496,Treutlen_GA,4592
497,Troup_GA,4590
498,Turner_GA,4627
499,Twiggs_GA,4601
500,Union_GA,4340
501,Upson_GA,4609
502,Walker_GA,4328
503,Walton_GA,4549
504,Ware_GA,4607
505,Warren_GA,4565
506,Washington_GA,4584
507,Wayne_GA,4593
508,Webster_GA,4639
509,Wheeler_GA,4599
510,White_GA,4400
511,Whitfield_GA,4335
512,Wilcox_GA,4617
513,Wilkes_GA,4548
514,Wilkinson_GA,4596
515,Worth_GA,4639
516,Ada_ID,4413
517,Adams_ID,4114
518,Bannock_ID,4336
519,Bear Lake_ID,4393
520,Benewah_ID,3808
521,Bingham_ID,4288
522,Blaine_ID,4221
523,Boise_ID,4232
524,Bonner_ID,3675
525,Bonneville_ID,4280
526,Boundary_ID,3589
527,Butte_ID,4177
528,Camas_ID,4234
529,Canyon_ID,4414
530,Caribou_ID,4338
531,Cassia_ID,4372
532,Clark_ID,4119
533,Clearwater_ID,3804
534,Custer_ID,4065
535,Elmore_ID,4331
536,Franklin_ID,4402
537,Fremont_ID,4182
538,Gem_ID,4305
539,Gooding_ID,4371
540,Idaho_ID,3897
541,Jefferson_ID,4226
542,Jerome_ID,4379
543,Kootenai_ID,3762
544,Latah_ID,3869
545,Lemhi_ID,3969
546,Lewis_ID,3921
547,Lincoln_ID,4327
548,Madison_ID,4245
549,Minidoka_ID,4334
550,Nez Perce_ID,3949
551,Oneida_ID,4380
552,Owyhee_ID,4443
553,Payette_ID,4351
554,Power_ID,4329
555,Shoshone_ID,3712
556,Teton_ID,4250
557,Twin Falls_ID,4406
558,Valley_ID,4056
559,Washington_ID,4236
560,Adams_IL,4180
561,Alexander_IL,4335
562,Bond_IL,4222
563,Boone_IL,3899
564,Brown_IL,4168
565,Bureau_IL,3971
566,Calhoun_IL,4226
567,Carroll_IL,3940
568,Cass_IL,4159
569,Champaign_IL,4065
570,Christian_IL,4175
571,Clark_IL,4141
572,Clay_IL,4207
573,Clinton_IL,4240
574,Coles_IL,4134
575,Cook_IL,3881
576,Crawford_IL,4168
577,Cumberland_IL,4159
578,DeKalb_IL,3910
579,De Witt_IL,4088
580,Douglas_IL,4109
581,DuPage_IL,3889
582,Edgar_IL,4105
583,Edwards_IL,4215
584,Effingham_IL,4187
585,Fayette_IL,4205
586,Ford_IL,4008
587,Franklin_IL,4268
588,Fulton_IL,4097
589,Gallatin_IL,4261
590,Greene_IL,4209
591,Grundy_IL,3945
592,Hamilton_IL,4251
593,Hancock_IL,4137
594,Hardin_IL,4275
595,Henderson_IL,4082
596,Henry_IL,3995
597,Iroquois_IL,3978
598,Jackson_IL,4292
599,Jasper_IL,4178
600,Jefferson_IL,4247
601,Jersey_IL,4222
602,Jo Daviess_IL,3931
603,Johnson_IL,4299
604,Kane_IL,3897
605,Kankakee_IL,3934
606,Kendall_IL,3919
607,Knox_IL,4039
608,Lake_IL,3878
609,La Salle_IL,3956
610,Lawrence_IL,4187
611,Lee_IL,3936
612,Livingston_IL,3988
613,Logan_IL,4119
614,McDonough_IL,4112
615,McHenry_IL,3889
616,McLean_IL,4045
617,Macon_IL,4129
618,Macoupin_IL,4206
619,Madison_IL,4230
620,Marion_IL,4224
621,Marshall_IL,4000
